swing_type,swing_time,swing_price,confirmed_time
LOW,2023-11-07 14:00:00+00:00,1.066894292831421,2023-11-07 19:00:00+00:00
HIGH,2023-11-07 19:00:00+00:00,1.0706638097763062,2023-11-08 00:00:00+00:00
HIGH,2023-11-08 16:00:00+00:00,1.071811318397522,2023-11-08 21:00:00+00:00
HIGH,2023-11-09 02:00:00+00:00,1.071926236152649,2023-11-09 07:00:00+00:00
LOW,2023-11-09 11:00:00+00:00,1.068376064300537,2023-11-09 16:00:00+00:00
LOW,2023-11-09 19:00:00+00:00,1.066439151763916,2023-11-10 00:00:00+00:00
LOW,2023-11-10 07:00:00+00:00,1.0659844875335693,2023-11-10 12:00:00+00:00
HIGH,2023-11-10 13:00:00+00:00,1.0695186853408813,2023-11-10 18:00:00+00:00
LOW,2023-11-10 16:00:00+00:00,1.0666667222976685,2023-11-10 21:00:00+00:00
HIGH,2023-11-13 00:00:00+00:00,1.069290041923523,2023-11-13 05:00:00+00:00
HIGH,2023-11-13 09:00:00+00:00,1.0703200101852417,2023-11-13 14:00:00+00:00
LOW,2023-11-13 13:00:00+00:00,1.066894292831421,2023-11-13 18:00:00+00:00
HIGH,2023-11-13 22:00:00+00:00,1.0710078477859497,2023-11-14 03:00:00+00:00
LOW,2023-11-14 05:00:00+00:00,1.06963312625885,2023-11-14 10:00:00+00:00
HIGH,2023-11-14 20:00:00+00:00,1.0889687538146973,2023-11-15 01:00:00+00:00
LOW,2023-11-15 00:00:00+00:00,1.0868383646011353,2023-11-15 05:00:00+00:00
HIGH,2023-11-15 04:00:00+00:00,1.0887316465377808,2023-11-15 09:00:00+00:00
LOW,2023-11-15 14:00:00+00:00,1.0834236145019531,2023-11-15 19:00:00+00:00
HIGH,2023-11-16 00:00:00+00:00,1.085894227027893,2023-11-16 05:00:00+00:00
LOW,2023-11-16 02:00:00+00:00,1.0833063125610352,2023-11-16 07:00:00+00:00
HIGH,2023-11-16 15:00:00+00:00,1.0897995233535767,2023-11-16 20:00:00+00:00
LOW,2023-11-16 22:00:00+00:00,1.0847163200378418,2023-11-17 03:00:00+00:00
LOW,2023-11-17 08:00:00+00:00,1.0828369855880737,2023-11-17 13:00:00+00:00
HIGH,2023-11-20 18:00:00+00:00,1.0954102277755737,2023-11-20 23:00:00+00:00
HIGH,2023-11-21 04:00:00+00:00,1.0968520641326904,2023-11-21 09:00:00+00:00
LOW,2023-11-21 19:00:00+00:00,1.0903936624526978,2023-11-22 00:00:00+00:00
HIGH,2023-11-22 01:00:00+00:00,1.0925379991531372,2023-11-22 06:00:00+00:00
HIGH,2023-11-22 08:00:00+00:00,1.0922993421554565,2023-11-22 13:00:00+00:00
LOW,2023-11-22 15:00:00+00:00,1.0856584310531616,2023-11-22 20:00:00+00:00
HIGH,2023-11-23 08:00:00+00:00,1.0930156707763672,2023-11-23 13:00:00+00:00
LOW,2023-11-23 14:00:00+00:00,1.0890873670578003,2023-11-23 19:00:00+00:00
LOW,2023-11-27 01:00:00+00:00,1.0930156707763672,2023-11-27 06:00:00+00:00
HIGH,2023-11-27 07:00:00+00:00,1.0961307287216187,2023-11-27 12:00:00+00:00
LOW,2023-11-27 15:00:00+00:00,1.0928961038589478,2023-11-27 20:00:00+00:00
HIGH,2023-11-28 02:00:00+00:00,1.096611499786377,2023-11-28 07:00:00+00:00
LOW,2023-11-28 07:00:00+00:00,1.0938525199890137,2023-11-28 12:00:00+00:00
HIGH,2023-11-28 17:00:00+00:00,1.1012003421783447,2023-11-28 22:00:00+00:00
HIGH,2023-11-29 01:00:00+00:00,1.1019283533096313,2023-11-29 06:00:00+00:00
HIGH,2023-11-29 19:00:00+00:00,1.0996261835098267,2023-11-30 00:00:00+00:00
LOW,2023-11-30 20:00:00+00:00,1.0882576704025269,2023-12-01 01:00:00+00:00
HIGH,2023-12-01 02:00:00+00:00,1.0915838479995728,2023-12-01 07:00:00+00:00
LOW,2023-12-01 16:00:00+00:00,1.0835410356521606,2023-12-01 21:00:00+00:00
HIGH,2023-12-01 18:00:00+00:00,1.089561939239502,2023-12-04 00:00:00+00:00
LOW,2023-12-04 01:00:00+00:00,1.08695650100708,2023-12-04 06:00:00+00:00
LOW,2023-12-04 07:00:00+00:00,1.0853049755096436,2023-12-04 12:00:00+00:00
HIGH,2023-12-04 09:00:00+00:00,1.0883761644363403,2023-12-04 14:00:00+00:00
LOW,2023-12-04 15:00:00+00:00,1.0808473825454712,2023-12-04 20:00:00+00:00
LOW,2023-12-05 07:00:00+00:00,1.0807305574417114,2023-12-05 12:00:00+00:00
LOW,2023-12-05 18:00:00+00:00,1.0781670808792114,2023-12-05 23:00:00+00:00
HIGH,2023-12-05 22:00:00+00:00,1.080263614654541,2023-12-06 03:00:00+00:00
HIGH,2023-12-06 05:00:00+00:00,1.0804970264434814,2023-12-06 10:00:00+00:00
LOW,2023-12-06 12:00:00+00:00,1.07758629322052,2023-12-06 17:00:00+00:00
HIGH,2023-12-06 14:00:00+00:00,1.0806137323379517,2023-12-06 19:00:00+00:00
LOW,2023-12-06 20:00:00+00:00,1.0761945247650146,2023-12-07 01:00:00+00:00
HIGH,2023-12-07 17:00:00+00:00,1.0818997621536255,2023-12-07 22:00:00+00:00
LOW,2023-12-08 13:00:00+00:00,1.0730764865875244,2023-12-08 18:00:00+00:00
LOW,2023-12-11 08:00:00+00:00,1.0755001306533813,2023-12-11 13:00:00+00:00
HIGH,2023-12-11 10:00:00+00:00,1.0781670808792114,2023-12-11 15:00:00+00:00
LOW,2023-12-11 15:00:00+00:00,1.0744600296020508,2023-12-11 20:00:00+00:00
HIGH,2023-12-11 19:00:00+00:00,1.0772379636764526,2023-12-12 00:00:00+00:00
HIGH,2023-12-12 13:00:00+00:00,1.0827198028564453,2023-12-12 18:00:00+00:00
LOW,2023-12-12 14:00:00+00:00,1.0770059823989868,2023-12-12 19:00:00+00:00
HIGH,2023-12-12 22:00:00+00:00,1.0803803205490112,2023-12-13 03:00:00+00:00
LOW,2023-12-13 10:00:00+00:00,1.07758629322052,2023-12-13 15:00:00+00:00
LOW,2023-12-13 18:00:00+00:00,1.078283429145813,2023-12-13 23:00:00+00:00
HIGH,2023-12-14 03:00:00+00:00,1.0918222665786743,2023-12-14 08:00:00+00:00
LOW,2023-12-14 08:00:00+00:00,1.0883761644363403,2023-12-14 13:00:00+00:00
HIGH,2023-12-14 17:00:00+00:00,1.1012003421783447,2023-12-14 22:00:00+00:00
LOW,2023-12-15 00:00:00+00:00,1.098056435585022,2023-12-15 05:00:00+00:00
HIGH,2023-12-15 04:00:00+00:00,1.100594401359558,2023-12-15 09:00:00+00:00
HIGH,2023-12-18 07:00:00+00:00,1.0932546854019165,2023-12-18 12:00:00+00:00
HIGH,2023-12-19 15:00:00+00:00,1.0990219116210938,2023-12-19 20:00:00+00:00
HIGH,2023-12-19 22:00:00+00:00,1.0987803936004639,2023-12-20 03:00:00+00:00
LOW,2023-12-20 12:00:00+00:00,1.0937328338623047,2023-12-20 17:00:00+00:00
HIGH,2023-12-20 16:00:00+00:00,1.0978153944015503,2023-12-20 21:00:00+00:00
LOW,2023-12-20 21:00:00+00:00,1.0933741331100464,2023-12-21 02:00:00+00:00
LOW,2023-12-21 09:00:00+00:00,1.0938525199890137,2023-12-21 14:00:00+00:00
HIGH,2023-12-22 14:00:00+00:00,1.1043622493743896,2023-12-22 19:00:00+00:00
LOW,2023-12-22 17:00:00+00:00,1.1003520488739014,2023-12-22 22:00:00+00:00
HIGH,2023-12-25 00:00:00+00:00,1.1027790307998657,2023-12-25 05:00:00+00:00
HIGH,2023-12-25 07:00:00+00:00,1.1024142503738403,2023-12-25 22:00:00+00:00
LOW,2023-12-25 22:00:00+00:00,1.0997470617294312,2023-12-26 03:00:00+00:00
HIGH,2023-12-26 03:00:00+00:00,1.103265643119812,2023-12-26 08:00:00+00:00
LOW,2023-12-26 12:00:00+00:00,1.1012003421783447,2023-12-26 17:00:00+00:00
HIGH,2023-12-26 22:00:00+00:00,1.1049723625183105,2023-12-27 03:00:00+00:00
