entry_time,direction,entry_price,pullback_score,outcome,bars_to_resolve
2024-05-24 04:00:00,Long,1.0828369855880735,100,win,2.0
2024-05-29 04:00:00,Long,1.0855406522750854,80,loss,1.0
2024-05-30 04:00:00,Long,1.0810810327529907,100,win,2.0
2024-05-31 12:00:00,Short,1.0850694179534912,-80,loss,7.0
2024-06-05 16:00:00,Long,1.0876659154891968,70,loss,11.0
2024-06-10 16:00:00,Long,1.0765421390533447,70,loss,4.0
2024-06-12 16:00:00,Short,1.0808473825454712,-80,win,5.0
2024-06-13 00:00:00,Short,1.080964207649231,-100,win,3.0
2024-06-18 04:00:00,Short,1.0726161003112793,-70,loss,2.0
2024-06-18 16:00:00,Short,1.074113845825195,-80,win,10.0
2024-06-19 00:00:00,Short,1.074113845825195,-100,win,8.0
2024-06-19 12:00:00,Short,1.0752688646316528,-80,win,5.0
2024-06-24 12:00:00,Short,1.0730764865875244,-80,win,6.0
2024-06-24 20:00:00,Short,1.0735372304916382,-80,win,4.0
2024-06-25 04:00:00,Short,1.072961449623108,-100,win,2.0
2024-06-25 20:00:00,Short,1.071237325668335,-70,win,3.0
2024-06-28 16:00:00,Short,1.071237325668335,-80,loss,2.0
2024-07-01 08:00:00,Short,1.0752688646316528,-70,win,5.0
2024-07-03 00:00:00,Short,1.0746910572052002,-100,loss,2.0
2024-07-03 08:00:00,Short,1.0760787725448608,-80,loss,1.0
2024-07-04 00:00:00,Short,1.0788650512695312,-70,loss,3.0
2024-07-09 20:00:00,Long,1.0817828178405762,70,win,6.0
2024-07-18 20:00:00,Long,1.0903936624526978,80,loss,2.0
2024-07-19 08:00:00,Long,1.089561939239502,100,loss,2.0
2024-07-19 20:00:00,Long,1.0886130332946775,100,win,1.0
2024-07-24 08:00:00,Long,1.0849517583847046,70,loss,5.0
2024-07-25 00:00:00,Long,1.0845986604690552,100,win,4.0
2024-07-29 00:00:00,Long,1.0864840745925903,70,loss,1.0
2024-07-30 00:00:00,Long,1.0824854373931885,100,loss,3.0
2024-07-30 08:00:00,Long,1.0828369855880735,100,loss,1.0
2024-07-30 16:00:00,Long,1.0813149213790894,70,win,4.0
2024-08-09 00:00:00,Long,1.0926573276519775,70,win,16.0
2024-08-09 12:00:00,Long,1.0926573276519775,70,win,13.0
2024-08-12 00:00:00,Long,1.0915838479995728,80,win,3.0
2024-08-16 04:00:00,Long,1.098780393600464,70,win,3.0
2024-08-28 12:00:00,Long,1.1129660606384275,80,loss,1.0
2024-08-28 20:00:00,Long,1.1127183437347412,100,loss,3.0
2024-08-29 20:00:00,Long,1.1082788705825806,70,loss,4.0
2024-08-30 04:00:00,Long,1.1087703704833984,100,loss,2.0
2024-09-02 00:00:00,Long,1.1052166223526,70,loss,10.0
2024-09-03 04:00:00,Long,1.1060723066329956,80,loss,1.0
2024-09-03 20:00:00,Long,1.1052166223526,100,win,4.0
2024-09-10 00:00:00,Long,1.1041183471679688,70,loss,3.0
2024-09-13 08:00:00,Short,1.1087703704833984,-70,loss,5.0
2024-09-19 00:00:00,Long,1.1119760274887085,70,win,2.0
2024-09-23 08:00:00,Long,1.1122233867645264,80,win,7.0
2024-09-24 00:00:00,Long,1.111605167388916,100,win,2.0
2024-09-25 20:00:00,Long,1.1133378744125366,80,win,4.0
2024-09-26 08:00:00,Long,1.1158223152160645,70,loss,1.0
2024-09-27 08:00:00,Long,1.1164453029632568,70,win,7.0
2024-09-27 16:00:00,Long,1.1166945695877075,70,loss,7.0
2024-09-30 04:00:00,Long,1.1175681352615356,70,loss,2.0
2024-09-30 20:00:00,Long,1.1139578819274902,80,loss,3.0
2024-10-02 00:00:00,Long,1.107419729232788,70,loss,3.0
2024-10-02 08:00:00,Long,1.1079105138778689,100,loss,1.0
2024-10-24 20:00:00,Short,1.082602620124817,-80,win,5.0
2024-10-25 08:00:00,Short,1.0824854373931885,-100,win,2.0
2024-10-28 12:00:00,Short,1.0821340084075928,-80,win,6.0
2024-10-30 00:00:00,Short,1.0816657543182373,-80,loss,2.0
2024-10-31 00:00:00,Short,1.0853049755096436,-100,loss,2.0
2024-10-31 12:00:00,Short,1.0857763290405271,-100,loss,2.0
2024-11-01 00:00:00,Short,1.087902545928955,-100,loss,3.0
2024-11-07 00:00:00,Long,1.0743446350097656,100,win,3.0
2024-11-19 04:00:00,Short,1.0582010746002195,-70,win,1.0
2024-11-20 00:00:00,Short,1.0592098236083984,-100,win,2.0
2024-11-26 12:00:00,Short,1.048327922821045,-70,loss,5.0
2024-11-27 00:00:00,Short,1.0485477447509766,-70,loss,2.0
2024-11-27 16:00:00,Short,1.0564124584197998,-80,win,16.0
2024-11-28 00:00:00,Short,1.055408954620361,-100,loss,7.0
2024-11-29 08:00:00,Short,1.0563008785247805,-100,loss,3.0
2024-11-29 20:00:00,Short,1.0580891370773315,-100,win,1.0
2024-12-06 00:00:00,Short,1.0579770803451538,-100,loss,3.0
2024-12-09 16:00:00,Short,1.0557432174682615,-100,win,5.0
2024-12-16 04:00:00,Short,1.0508617162704468,-80,loss,5.0
2024-12-17 00:00:00,Short,1.0515247583389282,-100,win,9.0
2024-12-17 16:00:00,Short,1.0492078065872192,-70,loss,3.0
2024-12-18 04:00:00,Short,1.0499789714813232,-70,win,3.0
2024-12-20 20:00:00,Short,1.0434056520462036,-80,no_resolution,
2024-12-23 04:00:00,Short,1.0415581464767456,-70,no_resolution,
2024-12-23 20:00:00,Short,1.0407993793487549,-70,loss,19.0
2024-12-25 20:00:00,Short,1.040149807929993,-70,loss,5.0
2024-12-26 04:00:00,Short,1.039933443069458,-70,loss,2.0
2024-12-27 00:00:00,Short,1.0415581464767456,-100,loss,2.0
2024-12-27 12:00:00,Short,1.042535424232483,-100,loss,5.0
2025-01-06 12:00:00,Short,1.0396090745925903,-80,loss,5.0
2025-01-07 12:00:00,Short,1.0372368097305298,-100,win,5.0
2025-01-15 00:00:00,Short,1.0305029153823853,-80,loss,3.0
2025-01-17 12:00:00,Short,1.0303966999053955,-100,loss,6.0
2025-01-21 00:00:00,Short,1.0390689373016355,-100,loss,4.0
2025-01-21 20:00:00,Short,1.0409077405929563,-100,loss,3.0
2025-01-28 04:00:00,Long,1.0437324047088623,80,loss,7.0
2025-01-28 16:00:00,Long,1.0438413619995115,100,loss,4.0
2025-01-29 12:00:00,Long,1.0423181056976318,100,loss,8.0
2025-01-30 12:00:00,Long,1.043187975883484,70,loss,2.0
2025-01-31 04:00:00,Long,1.0407993793487549,100,loss,1.0
2025-01-31 12:00:00,Long,1.0400415658950806,100,loss,2.0
2025-02-04 20:00:00,Short,1.037451982498169,-80,loss,3.0
2025-02-05 16:00:00,Short,1.0410159826278689,-100,win,11.0
2025-02-06 16:00:00,Short,1.0387451648712158,-80,win,5.0
2025-02-10 08:00:00,Long,1.032417893409729,100,loss,4.0
2025-02-12 00:00:00,Short,1.0363768339157104,-80,loss,2.0
2025-02-12 12:00:00,Short,1.0375596284866333,-100,loss,1.0
2025-02-12 20:00:00,Short,1.0393929481506348,-80,loss,1.0
2025-02-13 08:00:00,Short,1.0405826568603516,-100,loss,1.0
2025-02-13 16:00:00,Short,1.0439503192901611,-80,loss,1.0
2025-02-18 20:00:00,Long,1.04504132270813,80,loss,3.0
2025-02-19 16:00:00,Long,1.0428615808486938,100,win,5.0
2025-02-25 00:00:00,Long,1.0475592613220217,70,win,3.0
2025-02-27 04:00:00,Long,1.047998309135437,80,loss,2.0
2025-02-28 04:00:00,Long,1.039933443069458,70,loss,3.0
2025-02-28 20:00:00,Long,1.0380982160568235,70,win,1.0
2025-03-04 00:00:00,Short,1.047998309135437,-80,loss,2.0
2025-03-13 20:00:00,Long,1.0857763290405271,70,win,3.0
2025-03-19 20:00:00,Long,1.0914647579193115,70,loss,2.0
2025-03-20 16:00:00,Long,1.0856584310531616,80,loss,3.0
2025-03-21 04:00:00,Long,1.0840108394622805,100,loss,2.0
2025-03-21 16:00:00,Long,1.0820168256759644,100,loss,6.0
2025-03-24 16:00:00,Long,1.0804970264434814,100,loss,11.0
2025-03-25 08:00:00,Long,1.0820168256759644,100,loss,3.0
2025-03-26 04:00:00,Long,1.0789813995361328,100,loss,3.0
2025-03-27 00:00:00,Long,1.0781670808792114,100,win,3.0
2025-04-01 12:00:00,Long,1.0803803205490112,80,win,6.0
2025-04-01 20:00:00,Long,1.0797970294952393,80,win,4.0
2025-04-02 08:00:00,Long,1.0804970264434814,100,win,1.0
2025-04-06 20:00:00,Short,1.098780393600464,-80,loss,14.0
2025-04-07 08:00:00,Short,1.0970927476882937,-100,loss,11.0
2025-04-07 20:00:00,Short,1.0918222665786743,-70,loss,2.0
2025-04-08 00:00:00,Long,1.096611499786377,70,win,7.0
2025-04-08 08:00:00,Long,1.093732833862305,100,win,4.0
2025-04-08 16:00:00,Long,1.0960105657577517,70,win,3.0
2025-04-09 20:00:00,Long,1.0954102277755735,80,win,3.0
2025-04-23 00:00:00,Long,1.1384334564208984,80,loss,4.0
2025-04-23 20:00:00,Long,1.1332728862762451,100,win,18.0
2025-04-25 04:00:00,Long,1.1363636255264282,100,no_resolution,
2025-04-28 00:00:00,Long,1.1359764337539673,100,win,4.0
2025-04-28 08:00:00,Long,1.1354604959487915,100,win,1.0
2025-04-30 04:00:00,Long,1.1383039951324463,80,loss,2.0
2025-05-01 08:00:00,Long,1.132502794265747,100,loss,1.0
2025-05-01 16:00:00,Long,1.1291780471801758,70,win,4.0
