event_time,event_type,new_trend
2024-04-01 11:00:00,TWO_PAIR_FLIP,
2024-04-01 12:00:00,TWO_PAIR_FLIP,
2024-04-01 13:00:00,TWO_PAIR_FLIP,
2024-04-01 14:00:00,TWO_PAIR_FLIP,
2024-04-01 15:00:00,TWO_PAIR_FLIP,
2024-04-01 16:00:00,TWO_PAIR_FLIP,
2024-04-01 17:00:00,TWO_PAIR_FLIP,
2024-04-01 18:00:00,TWO_PAIR_FLIP,
2024-04-01 19:00:00,TWO_PAIR_FLIP,
2024-04-01 20:00:00,TWO_PAIR_FLIP,
2024-04-01 22:00:00,TWO_PAIR_FLIP,
2024-04-01 23:00:00,TWO_PAIR_FLIP,
2024-04-02 00:00:00,TWO_PAIR_FLIP,
2024-04-02 01:00:00,TWO_PAIR_FLIP,
2024-04-02 02:00:00,TWO_PAIR_FLIP,
2024-04-02 03:00:00,TWO_PAIR_FLIP,
2024-04-02 04:00:00,TWO_PAIR_FLIP,
2024-04-02 05:00:00,TWO_PAIR_FLIP,
2024-04-02 06:00:00,TWO_PAIR_FLIP,
2024-04-02 07:00:00,TWO_PAIR_FLIP,
2024-04-02 08:00:00,TWO_PAIR_FLIP,
2024-04-02 09:00:00,TWO_PAIR_FLIP,
2024-04-02 10:00:00,TWO_PAIR_FLIP,
2024-04-02 11:00:00,TWO_PAIR_FLIP,
2024-04-02 12:00:00,TWO_PAIR_FLIP,
2024-04-02 13:00:00,TWO_PAIR_FLIP,
2024-04-02 14:00:00,TWO_PAIR_FLIP,
2024-04-02 15:00:00,TWO_PAIR_FLIP,
2024-04-02 16:00:00,TWO_PAIR_FLIP,
2024-04-02 17:00:00,TWO_PAIR_FLIP,
2024-04-02 18:00:00,TWO_PAIR_FLIP,
2024-04-02 19:00:00,TWO_PAIR_FLIP,
2024-04-02 20:00:00,TWO_PAIR_FLIP,
2024-04-02 22:00:00,TWO_PAIR_FLIP,
2024-04-02 23:00:00,TWO_PAIR_FLIP,
2024-04-03 00:00:00,TWO_PAIR_FLIP,
2024-04-03 01:00:00,TWO_PAIR_FLIP,
2024-04-03 02:00:00,TWO_PAIR_FLIP,
2024-04-03 03:00:00,TWO_PAIR_FLIP,
2024-04-03 04:00:00,TWO_PAIR_FLIP,
2024-04-03 05:00:00,TWO_PAIR_FLIP,
2024-04-03 06:00:00,TWO_PAIR_FLIP,
2024-04-03 07:00:00,TWO_PAIR_FLIP,
2024-04-04 18:00:00,TWO_PAIR_FLIP,1.0
2024-04-05 00:00:00,CHOCH,-1.0
2024-04-24 03:00:00,CHOCH,1.0
2024-04-26 14:00:00,CHOCH,-1.0
2024-05-03 17:00:00,TWO_PAIR_FLIP,1.0
2024-05-08 01:00:00,CHOCH,-1.0
2024-05-09 04:00:00,CHOCH,1.0
