event_time,event_type,new_trend
2023-09-25 19:30:00,TWO_PAIR_FLIP,
2023-09-26 13:30:00,TWO_PAIR_FLIP,
2023-09-26 14:30:00,TWO_PAIR_FLIP,
2023-09-26 15:30:00,TWO_PAIR_FLIP,
2023-09-26 16:30:00,TWO_PAIR_FLIP,
2023-09-26 17:30:00,TWO_PAIR_FLIP,
2023-09-26 18:30:00,TWO_PAIR_FLIP,
2023-09-26 19:30:00,TWO_PAIR_FLIP,
2023-09-27 13:30:00,TWO_PAIR_FLIP,
2023-09-27 14:30:00,TWO_PAIR_FLIP,
2023-09-27 15:30:00,TWO_PAIR_FLIP,
2023-09-27 16:30:00,TWO_PAIR_FLIP,
2023-09-27 17:30:00,TWO_PAIR_FLIP,
2023-09-27 18:30:00,TWO_PAIR_FLIP,
2023-09-27 19:30:00,TWO_PAIR_FLIP,
2023-09-28 13:30:00,TWO_PAIR_FLIP,
2023-09-28 14:30:00,TWO_PAIR_FLIP,
2023-10-05 17:30:00,TWO_PAIR_FLIP,-1.0
2023-10-06 14:30:00,CHOCH,1.0
2023-10-12 17:30:00,CHOCH,-1.0
2023-11-07 14:30:00,CHOCH,1.0
2023-11-09 18:30:00,CHOCH,-1.0
2024-01-12 19:30:00,TWO_PAIR_FLIP,1.0
2024-01-31 19:30:00,CHOCH,-1.0
2024-02-29 14:30:00,CHOCH,1.0
2024-03-25 13:30:00,CHOCH,-1.0
2024-04-23 13:30:00,CHOCH,1.0
2024-05-22 17:30:00,CHOCH,-1.0
2024-06-05 13:30:00,CHOCH,1.0
2024-06-24 19:30:00,CHOCH,-1.0
2024-07-31 13:30:00,CHOCH,1.0
2024-08-22 17:30:00,CHOCH,-1.0
2024-09-10 19:30:00,CHOCH,1.0
2024-10-01 13:30:00,CHOCH,-1.0
2024-10-25 13:30:00,CHOCH,1.0
2024-10-31 13:30:00,CHOCH,-1.0
2024-11-05 16:30:00,CHOCH,1.0
2024-12-09 14:30:00,CHOCH,-1.0
2024-12-16 17:30:00,CHOCH,1.0
2025-01-27 14:30:00,CHOCH,-1.0
2025-03-17 13:30:00,CHOCH,1.0
2025-03-21 13:30:00,CHOCH,-1.0
2025-04-02 14:30:00,CHOCH,1.0
2025-05-06 13:30:00,CHOCH,-1.0
2025-05-12 13:30:00,CHOCH,1.0
2025-05-21 16:30:00,CHOCH,-1.0
2025-06-03 13:30:00,CHOCH,1.0
2025-06-13 13:30:00,CHOCH,-1.0
2025-06-26 13:30:00,CHOCH,1.0
2025-07-16 14:30:00,CHOCH,-1.0
2025-08-22 13:30:00,CHOCH,1.0
2025-08-25 19:30:00,CHOCH,-1.0
2025-09-04 13:30:00,CHOCH,1.0
2025-09-25 13:30:00,CHOCH,-1.0
2025-10-14 16:30:00,CHOCH,1.0
2025-10-16 17:30:00,CHOCH,-1.0
2025-11-20 14:30:00,CHOCH,1.0
2025-12-12 15:30:00,CHOCH,-1.0
2026-01-26 14:30:00,CHOCH,1.0
2026-02-27 16:30:00,CHOCH,-1.0
2026-03-17 13:30:00,CHOCH,1.0
2026-04-21 16:30:00,CHOCH,-1.0
2026-04-22 19:30:00,CHOCH,1.0
2026-04-30 16:30:00,TWO_PAIR_FLIP,-1.0
2026-05-06 13:30:00,CHOCH,1.0
2026-05-18 14:30:00,CHOCH,-1.0
2026-06-12 13:30:00,CHOCH,1.0
2026-06-23 14:30:00,CHOCH,-1.0
2026-06-29 16:30:00,CHOCH,1.0
2026-07-16 18:30:00,CHOCH,-1.0
