event_time,event_type,new_trend
2023-11-03 13:00:00,TWO_PAIR_FLIP,
2023-11-03 14:00:00,TWO_PAIR_FLIP,
2023-11-03 15:00:00,TWO_PAIR_FLIP,
2023-11-03 16:00:00,TWO_PAIR_FLIP,
2023-11-03 17:00:00,TWO_PAIR_FLIP,
2023-11-03 18:00:00,TWO_PAIR_FLIP,
2023-11-03 19:00:00,TWO_PAIR_FLIP,
2023-11-03 20:00:00,TWO_PAIR_FLIP,
2023-11-03 21:00:00,TWO_PAIR_FLIP,
2023-11-06 00:00:00,TWO_PAIR_FLIP,
2023-11-06 01:00:00,TWO_PAIR_FLIP,
2023-11-06 02:00:00,TWO_PAIR_FLIP,
2023-11-06 03:00:00,TWO_PAIR_FLIP,
2023-11-06 04:00:00,TWO_PAIR_FLIP,
2023-11-06 05:00:00,TWO_PAIR_FLIP,
2023-11-06 06:00:00,TWO_PAIR_FLIP,
2023-11-06 07:00:00,TWO_PAIR_FLIP,
2023-11-06 08:00:00,TWO_PAIR_FLIP,
2023-11-06 09:00:00,TWO_PAIR_FLIP,
2023-11-06 10:00:00,TWO_PAIR_FLIP,
2023-11-06 11:00:00,TWO_PAIR_FLIP,
2023-11-06 12:00:00,TWO_PAIR_FLIP,
2023-11-06 13:00:00,TWO_PAIR_FLIP,
2023-11-06 14:00:00,TWO_PAIR_FLIP,
2023-11-06 15:00:00,TWO_PAIR_FLIP,
2023-11-06 16:00:00,TWO_PAIR_FLIP,
2023-11-06 17:00:00,TWO_PAIR_FLIP,
2023-11-06 18:00:00,TWO_PAIR_FLIP,
2023-11-06 19:00:00,TWO_PAIR_FLIP,
2023-11-06 20:00:00,TWO_PAIR_FLIP,
2023-11-06 21:00:00,TWO_PAIR_FLIP,
2023-11-06 22:00:00,TWO_PAIR_FLIP,
2023-11-06 23:00:00,TWO_PAIR_FLIP,
2023-11-07 00:00:00,TWO_PAIR_FLIP,
2023-11-07 01:00:00,TWO_PAIR_FLIP,
2023-11-07 02:00:00,TWO_PAIR_FLIP,
2023-11-07 03:00:00,TWO_PAIR_FLIP,
2023-11-07 04:00:00,TWO_PAIR_FLIP,
2023-11-07 05:00:00,TWO_PAIR_FLIP,
2023-11-07 06:00:00,TWO_PAIR_FLIP,
2023-11-07 07:00:00,TWO_PAIR_FLIP,
2023-11-07 08:00:00,TWO_PAIR_FLIP,
2023-11-07 09:00:00,TWO_PAIR_FLIP,
2023-11-07 10:00:00,TWO_PAIR_FLIP,
2023-11-07 11:00:00,TWO_PAIR_FLIP,
2023-11-07 12:00:00,TWO_PAIR_FLIP,
2023-11-07 13:00:00,TWO_PAIR_FLIP,
2023-11-07 14:00:00,TWO_PAIR_FLIP,
2023-11-07 15:00:00,TWO_PAIR_FLIP,
2023-11-07 16:00:00,TWO_PAIR_FLIP,
2023-11-07 17:00:00,TWO_PAIR_FLIP,
2023-11-07 18:00:00,TWO_PAIR_FLIP,
2023-11-09 16:00:00,TWO_PAIR_FLIP,1.0
2023-11-16 05:00:00,TWO_PAIR_FLIP,-1.0
2023-11-27 06:00:00,TWO_PAIR_FLIP,1.0
2023-12-01 07:00:00,TWO_PAIR_FLIP,-1.0
2023-12-14 13:00:00,TWO_PAIR_FLIP,1.0
2023-12-20 21:00:00,TWO_PAIR_FLIP,-1.0
2023-12-22 22:00:00,TWO_PAIR_FLIP,1.0
2023-12-29 14:00:00,TWO_PAIR_FLIP,-1.0
2024-01-11 17:00:00,TWO_PAIR_FLIP,1.0
2024-01-16 00:00:00,TWO_PAIR_FLIP,-1.0
2024-01-19 13:00:00,TWO_PAIR_FLIP,1.0
2024-01-29 12:00:00,TWO_PAIR_FLIP,-1.0
2024-02-12 05:00:00,TWO_PAIR_FLIP,1.0
2024-02-14 13:00:00,TWO_PAIR_FLIP,-1.0
2024-02-21 14:00:00,TWO_PAIR_FLIP,1.0
2024-03-18 16:00:00,TWO_PAIR_FLIP,-1.0
2024-03-21 12:00:00,TWO_PAIR_FLIP,1.0
2024-03-25 13:00:00,TWO_PAIR_FLIP,-1.0
2024-04-03 12:00:00,TWO_PAIR_FLIP,1.0
2024-04-12 19:00:00,TWO_PAIR_FLIP,-1.0
2024-04-18 11:00:00,TWO_PAIR_FLIP,1.0
2024-04-22 23:00:00,TWO_PAIR_FLIP,-1.0
2024-04-24 17:00:00,TWO_PAIR_FLIP,1.0
2024-05-02 12:00:00,TWO_PAIR_FLIP,-1.0
2024-05-03 12:00:00,TWO_PAIR_FLIP,1.0
2024-05-09 16:00:00,TWO_PAIR_FLIP,-1.0
2024-05-13 18:00:00,TWO_PAIR_FLIP,1.0
2024-05-23 12:00:00,TWO_PAIR_FLIP,-1.0
2024-06-04 05:00:00,TWO_PAIR_FLIP,1.0
2024-06-12 00:00:00,TWO_PAIR_FLIP,-1.0
2024-06-18 19:00:00,TWO_PAIR_FLIP,1.0
2024-06-21 02:00:00,TWO_PAIR_FLIP,-1.0
2024-06-24 22:00:00,TWO_PAIR_FLIP,1.0
2024-06-26 07:00:00,TWO_PAIR_FLIP,-1.0
2024-07-01 20:00:00,TWO_PAIR_FLIP,1.0
2024-07-10 13:00:00,TWO_PAIR_FLIP,-1.0
2024-07-12 05:00:00,TWO_PAIR_FLIP,1.0
2024-07-22 04:00:00,TWO_PAIR_FLIP,-1.0
2024-07-25 22:00:00,TWO_PAIR_FLIP,1.0
2024-08-01 19:00:00,TWO_PAIR_FLIP,-1.0
2024-08-12 20:00:00,TWO_PAIR_FLIP,1.0
2024-08-23 12:00:00,TWO_PAIR_FLIP,-1.0
2024-09-05 17:00:00,TWO_PAIR_FLIP,1.0
2024-09-10 05:00:00,TWO_PAIR_FLIP,-1.0
2024-09-25 22:00:00,TWO_PAIR_FLIP,1.0
2024-10-01 22:00:00,TWO_PAIR_FLIP,-1.0
2024-10-11 13:00:00,TWO_PAIR_FLIP,1.0
2024-10-14 05:00:00,TWO_PAIR_FLIP,-1.0
2024-10-25 17:00:00,TWO_PAIR_FLIP,1.0
2024-11-11 06:00:00,TWO_PAIR_FLIP,-1.0
2024-11-15 18:00:00,TWO_PAIR_FLIP,1.0
2024-11-22 13:00:00,TWO_PAIR_FLIP,-1.0
2024-11-25 21:00:00,TWO_PAIR_FLIP,1.0
2024-12-02 21:00:00,TWO_PAIR_FLIP,-1.0
2024-12-03 20:00:00,TWO_PAIR_FLIP,1.0
2024-12-04 19:00:00,TWO_PAIR_FLIP,-1.0
2024-12-06 12:00:00,TWO_PAIR_FLIP,1.0
2024-12-11 07:00:00,TWO_PAIR_FLIP,-1.0
2024-12-16 07:00:00,TWO_PAIR_FLIP,1.0
2024-12-19 14:00:00,TWO_PAIR_FLIP,-1.0
2024-12-23 20:00:00,TWO_PAIR_FLIP,1.0
2025-01-09 00:00:00,TWO_PAIR_FLIP,-1.0
2025-01-21 05:00:00,TWO_PAIR_FLIP,1.0
2025-01-23 21:00:00,TWO_PAIR_FLIP,-1.0
2025-01-30 19:00:00,TWO_PAIR_FLIP,1.0
2025-01-31 20:00:00,TWO_PAIR_FLIP,-1.0
2025-02-14 03:00:00,TWO_PAIR_FLIP,1.0
2025-02-18 21:00:00,TWO_PAIR_FLIP,-1.0
2025-02-26 05:00:00,TWO_PAIR_FLIP,1.0
2025-02-28 08:00:00,TWO_PAIR_FLIP,-1.0
2025-03-04 01:00:00,TWO_PAIR_FLIP,1.0
2025-03-13 21:00:00,TWO_PAIR_FLIP,-1.0
2025-03-31 12:00:00,TWO_PAIR_FLIP,1.0
2025-04-02 03:00:00,TWO_PAIR_FLIP,-1.0
2025-04-04 00:00:00,TWO_PAIR_FLIP,1.0
2025-04-07 04:00:00,TWO_PAIR_FLIP,-1.0
2025-04-09 17:00:00,TWO_PAIR_FLIP,1.0
2025-04-17 19:00:00,TWO_PAIR_FLIP,-1.0
2025-04-21 20:00:00,TWO_PAIR_FLIP,1.0
2025-05-08 12:00:00,TWO_PAIR_FLIP,-1.0
2025-05-14 05:00:00,TWO_PAIR_FLIP,1.0
2025-05-15 18:00:00,TWO_PAIR_FLIP,-1.0
2025-05-21 13:00:00,TWO_PAIR_FLIP,1.0
2025-05-22 22:00:00,TWO_PAIR_FLIP,-1.0
2025-05-26 17:00:00,TWO_PAIR_FLIP,1.0
2025-05-28 05:00:00,TWO_PAIR_FLIP,-1.0
2025-06-12 22:00:00,TWO_PAIR_FLIP,1.0
2025-06-23 14:00:00,TWO_PAIR_FLIP,-1.0
2025-06-26 17:00:00,TWO_PAIR_FLIP,1.0
2025-07-02 17:00:00,TWO_PAIR_FLIP,-1.0
2025-07-18 19:00:00,TWO_PAIR_FLIP,1.0
2025-07-25 18:00:00,TWO_PAIR_FLIP,-1.0
2025-08-07 13:00:00,TWO_PAIR_FLIP,1.0
2025-08-12 10:00:00,TWO_PAIR_FLIP,-1.0
2025-08-13 18:00:00,TWO_PAIR_FLIP,1.0
2025-08-21 14:00:00,TWO_PAIR_FLIP,-1.0
2025-08-28 22:00:00,TWO_PAIR_FLIP,1.0
2025-09-02 19:00:00,TWO_PAIR_FLIP,-1.0
2025-09-09 10:00:00,TWO_PAIR_FLIP,1.0
2025-09-18 18:00:00,TWO_PAIR_FLIP,-1.0
2025-09-30 18:00:00,TWO_PAIR_FLIP,1.0
2025-10-07 21:00:00,TWO_PAIR_FLIP,-1.0
2025-10-16 12:00:00,TWO_PAIR_FLIP,1.0
2025-10-20 16:00:00,TWO_PAIR_FLIP,-1.0
2025-10-27 06:00:00,TWO_PAIR_FLIP,1.0
2025-10-30 00:00:00,TWO_PAIR_FLIP,-1.0
2025-11-12 03:00:00,TWO_PAIR_FLIP,1.0
2025-11-20 04:00:00,TWO_PAIR_FLIP,-1.0
2025-11-26 21:00:00,TWO_PAIR_FLIP,1.0
2025-12-08 11:00:00,TWO_PAIR_FLIP,-1.0
2025-12-10 13:00:00,TWO_PAIR_FLIP,1.0
2025-12-18 12:00:00,TWO_PAIR_FLIP,-1.0
2025-12-23 17:00:00,TWO_PAIR_FLIP,1.0
2025-12-31 20:00:00,TWO_PAIR_FLIP,-1.0
2026-01-13 11:00:00,TWO_PAIR_FLIP,1.0
2026-01-14 21:00:00,TWO_PAIR_FLIP,-1.0
2026-01-20 05:00:00,TWO_PAIR_FLIP,1.0
2026-02-02 16:00:00,TWO_PAIR_FLIP,-1.0
2026-02-04 13:00:00,TWO_PAIR_FLIP,1.0
2026-02-19 03:00:00,TWO_PAIR_FLIP,-1.0
2026-02-23 05:00:00,TWO_PAIR_FLIP,1.0
2026-02-24 14:00:00,TWO_PAIR_FLIP,-1.0
2026-02-25 16:00:00,TWO_PAIR_FLIP,1.0
2026-03-06 19:00:00,TWO_PAIR_FLIP,-1.0
2026-03-10 12:00:00,TWO_PAIR_FLIP,1.0
2026-03-12 09:00:00,TWO_PAIR_FLIP,-1.0
2026-03-17 11:00:00,TWO_PAIR_FLIP,1.0
2026-03-19 13:00:00,TWO_PAIR_FLIP,-1.0
