Instrument,Ticker,Expiry,OI_Put,OI_Call,PCR_OI,Vol_Put,Vol_Call,PCR_Vol,Status
US 500 (S&P 500),SPY,2026-08-17,99856,90437.0,1.104149850171943,637181.0,515981.0,1.23489237006789,OK
US Tech 100 (Nasdaq),QQQ,2026-08-17,87501,47663.0,1.8358265321108618,315471.0,377185.0,0.8363826769357212,OK
US 30 (Dow Jones),DIA,2026-08-21,43079,37853.0,1.138060391514543,5778.0,4345.0,1.3298043728423474,OK
US 2000 (Russell 2000),IWM,2026-08-17,27774,21001.0,1.322508451978477,60051.0,40960.0,1.4660888671875,OK
UK 100 (FTSE),EWU,2026-08-21,62,136.0,0.45588235294117646,45.0,29.0,1.5517241379310345,OK
Germany 40 (DAX),EWG,2026-08-21,2563,1729.0,1.4823597455176403,118.0,44.0,2.6818181818181817,OK
France 40 (CAC),EWQ,2026-08-21,232,6.0,38.666666666666664,10.0,1.0,10.0,OK
Europe 50 (Euro Stoxx),FEZ,2026-08-21,42078,17163.0,2.4516692885859115,423.0,1314.0,0.3219178082191781,OK
Japan 225 (Nikkei),EWJ,2026-08-21,12657,6779.0,1.86708954123027,494.0,102.0,4.8431372549019605,OK
Hong Kong 50 (Hang Seng),EWH,2026-08-21,3270,253.0,12.924901185770752,468.0,26.0,18.0,OK
Australia 200 (ASX),EWA,2026-08-21,142,56.0,2.5357142857142856,8.0,6.0,1.3333333333333333,OK
