swing_type,swing_time,swing_price,confirmed_time
HIGH,2024-05-28 08:00:00,1.089205980300903,2024-05-29 12:00:00
LOW,2024-05-30 04:00:00,1.079097867012024,2024-05-31 08:00:00
HIGH,2024-06-04 00:00:00,1.0918222665786743,2024-06-05 04:00:00
LOW,2024-06-05 16:00:00,1.0857763290405271,2024-06-06 20:00:00
HIGH,2024-06-07 08:00:00,1.0903936624526978,2024-06-10 08:00:00
LOW,2024-06-11 12:00:00,1.0722709894180298,2024-06-12 16:00:00
HIGH,2024-06-12 12:00:00,1.0854227542877195,2024-06-13 16:00:00
LOW,2024-06-14 12:00:00,1.067121982574463,2024-06-17 12:00:00
HIGH,2024-06-18 12:00:00,1.0764262676239014,2024-06-19 16:00:00
LOW,2024-06-21 04:00:00,1.067463755607605,2024-06-24 04:00:00
HIGH,2024-06-24 12:00:00,1.0750375986099243,2024-06-25 16:00:00
LOW,2024-06-26 12:00:00,1.066894292831421,2024-06-27 16:00:00
HIGH,2024-06-27 12:00:00,1.072961449623108,2024-06-28 16:00:00
HIGH,2024-07-01 04:00:00,1.077934741973877,2024-07-02 08:00:00
LOW,2024-07-02 08:00:00,1.0713521242141724,2024-07-03 12:00:00
HIGH,2024-07-03 12:00:00,1.0818997621536257,2024-07-04 16:00:00
HIGH,2024-07-08 12:00:00,1.0848339796066284,2024-07-09 16:00:00
HIGH,2024-07-15 12:00:00,1.092418551445007,2024-07-16 16:00:00
LOW,2024-07-16 12:00:00,1.0875475406646729,2024-07-17 16:00:00
HIGH,2024-07-17 12:00:00,1.09505033493042,2024-07-18 16:00:00
HIGH,2024-07-21 20:00:00,1.0906314849853516,2024-07-23 00:00:00
LOW,2024-07-24 08:00:00,1.0829542875289917,2024-07-25 12:00:00
HIGH,2024-07-25 16:00:00,1.0871928930282593,2024-07-26 20:00:00
HIGH,2024-07-29 00:00:00,1.087311029434204,2024-07-30 04:00:00
LOW,2024-07-30 12:00:00,1.080263614654541,2024-07-31 16:00:00
HIGH,2024-07-31 12:00:00,1.0851871967315674,2024-08-01 16:00:00
HIGH,2024-08-05 12:00:00,1.1009578704833984,2024-08-06 16:00:00
HIGH,2024-08-08 04:00:00,1.0948106050491333,2024-08-09 08:00:00
LOW,2024-08-08 12:00:00,1.0886130332946775,2024-08-09 16:00:00
HIGH,2024-08-14 12:00:00,1.1049723625183103,2024-08-15 16:00:00
LOW,2024-08-15 12:00:00,1.0954102277755735,2024-08-16 16:00:00
HIGH,2024-08-21 16:00:00,1.1176930665969849,2024-08-22 20:00:00
LOW,2024-08-22 12:00:00,1.1102476119995115,2024-08-23 16:00:00
HIGH,2024-08-27 16:00:00,1.119444727897644,2024-08-28 20:00:00
LOW,2024-09-02 00:00:00,1.1044842004776,2024-09-03 04:00:00
LOW,2024-09-03 16:00:00,1.1030223369598389,2024-09-04 20:00:00
HIGH,2024-09-06 12:00:00,1.1154489517211914,2024-09-09 12:00:00
HIGH,2024-09-11 08:00:00,1.105705499649048,2024-09-12 12:00:00
LOW,2024-09-11 12:00:00,1.100594401359558,2024-09-12 16:00:00
HIGH,2024-09-17 08:00:00,1.114951491355896,2024-09-18 12:00:00
HIGH,2024-09-18 16:00:00,1.11906898021698,2024-09-19 20:00:00
LOW,2024-09-19 00:00:00,1.107419729232788,2024-09-20 04:00:00
HIGH,2024-09-20 04:00:00,1.1184431314468384,2024-09-23 04:00:00
LOW,2024-09-23 08:00:00,1.1087703704833984,2024-09-24 12:00:00
HIGH,2024-09-25 12:00:00,1.1215791702270508,2024-09-26 16:00:00
LOW,2024-09-25 16:00:00,1.1125946044921875,2024-09-26 20:00:00
LOW,2024-09-27 04:00:00,1.1128422021865845,2024-09-30 04:00:00
HIGH,2024-09-30 08:00:00,1.1212018728256226,2024-10-01 12:00:00
LOW,2024-10-04 16:00:00,1.0954102277755735,2024-10-07 16:00:00
HIGH,2024-10-08 08:00:00,1.0999890565872192,2024-10-09 12:00:00
LOW,2024-10-10 16:00:00,1.0903936624526978,2024-10-11 20:00:00
HIGH,2024-10-11 08:00:00,1.095650315284729,2024-10-14 08:00:00
LOW,2024-10-17 12:00:00,1.081548810005188,2024-10-18 16:00:00
LOW,2024-10-23 12:00:00,1.0765421390533447,2024-10-24 16:00:00
HIGH,2024-10-25 12:00:00,1.0842459201812744,2024-10-28 16:00:00
LOW,2024-10-28 04:00:00,1.078515887260437,2024-10-29 08:00:00
LOW,2024-10-29 12:00:00,1.0772379636764526,2024-10-30 16:00:00
LOW,2024-11-01 20:00:00,1.0834236145019531,2024-11-05 00:00:00
LOW,2024-11-06 12:00:00,1.0686043500900269,2024-11-07 16:00:00
HIGH,2024-11-07 12:00:00,1.0829542875289917,2024-11-08 16:00:00
HIGH,2024-11-13 12:00:00,1.0654165744781494,2024-11-14 16:00:00
LOW,2024-11-14 08:00:00,1.0503098964691162,2024-11-15 12:00:00
HIGH,2024-11-20 00:00:00,1.0612331628799438,2024-11-21 04:00:00
LOW,2024-11-22 08:00:00,1.0342330932617188,2024-11-25 12:00:00
HIGH,2024-11-27 16:00:00,1.058985471725464,2024-11-28 20:00:00
HIGH,2024-11-29 04:00:00,1.0597710609436035,2024-12-02 08:00:00
LOW,2024-12-02 16:00:00,1.046462893486023,2024-12-03 20:00:00
LOW,2024-12-04 12:00:00,1.0476689338684082,2024-12-05 16:00:00
HIGH,2024-12-06 12:00:00,1.062925100326538,2024-12-09 16:00:00
LOW,2024-12-13 04:00:00,1.0456969738006592,2024-12-16 08:00:00
HIGH,2024-12-17 00:00:00,1.0534077882766724,2024-12-18 04:00:00
LOW,2024-12-18 20:00:00,1.0346611738204956,2024-12-20 00:00:00
LOW,2024-12-20 04:00:00,1.0347682237625122,2024-12-23 08:00:00
LOW,2024-12-24 16:00:00,1.0386372804641724,2024-12-26 04:00:00
HIGH,2024-12-30 12:00:00,1.0460251569747925,2024-12-31 16:00:00
LOW,2025-01-02 16:00:00,1.0237510204315186,2025-01-03 20:00:00
HIGH,2025-01-06 12:00:00,1.0437324047088623,2025-01-07 16:00:00
LOW,2025-01-08 08:00:00,1.0278549194335938,2025-01-09 12:00:00
LOW,2025-01-13 08:00:00,1.0182262659072876,2025-01-14 12:00:00
HIGH,2025-01-15 12:00:00,1.0351966619491575,2025-01-16 16:00:00
LOW,2025-01-16 12:00:00,1.0266940593719482,2025-01-17 16:00:00
