event_time,event_type,new_trend
2023-11-03 13:00:00,TWO_PAIR_FLIP,
2023-11-03 14:00:00,TWO_PAIR_FLIP,
2023-11-03 15:00:00,TWO_PAIR_FLIP,
2023-11-03 16:00:00,TWO_PAIR_FLIP,
2023-11-03 17:00:00,TWO_PAIR_FLIP,
2023-11-03 18:00:00,TWO_PAIR_FLIP,
2023-11-03 19:00:00,TWO_PAIR_FLIP,
2023-11-03 20:00:00,TWO_PAIR_FLIP,
2023-11-03 21:00:00,TWO_PAIR_FLIP,
2023-11-06 00:00:00,TWO_PAIR_FLIP,
2023-11-06 01:00:00,TWO_PAIR_FLIP,
2023-11-06 02:00:00,TWO_PAIR_FLIP,
2023-11-06 03:00:00,TWO_PAIR_FLIP,
2023-11-06 04:00:00,TWO_PAIR_FLIP,
2023-11-06 05:00:00,TWO_PAIR_FLIP,
2023-11-06 06:00:00,TWO_PAIR_FLIP,
2023-11-06 07:00:00,TWO_PAIR_FLIP,
2023-11-06 08:00:00,TWO_PAIR_FLIP,
2023-11-06 09:00:00,TWO_PAIR_FLIP,
2023-11-06 10:00:00,TWO_PAIR_FLIP,
2023-11-06 11:00:00,TWO_PAIR_FLIP,
2023-11-06 12:00:00,TWO_PAIR_FLIP,
2023-11-06 13:00:00,TWO_PAIR_FLIP,
2023-11-06 14:00:00,TWO_PAIR_FLIP,
2023-11-06 15:00:00,TWO_PAIR_FLIP,
2023-11-06 16:00:00,TWO_PAIR_FLIP,
2023-11-06 17:00:00,TWO_PAIR_FLIP,
2023-11-06 18:00:00,TWO_PAIR_FLIP,
2023-11-06 19:00:00,TWO_PAIR_FLIP,
2023-11-06 20:00:00,TWO_PAIR_FLIP,
2023-11-06 21:00:00,TWO_PAIR_FLIP,
2023-11-06 22:00:00,TWO_PAIR_FLIP,
2023-11-06 23:00:00,TWO_PAIR_FLIP,
2023-11-07 00:00:00,TWO_PAIR_FLIP,
2023-11-07 01:00:00,TWO_PAIR_FLIP,
2023-11-07 02:00:00,TWO_PAIR_FLIP,
2023-11-07 03:00:00,TWO_PAIR_FLIP,
2023-11-07 04:00:00,TWO_PAIR_FLIP,
2023-11-07 05:00:00,TWO_PAIR_FLIP,
2023-11-07 06:00:00,TWO_PAIR_FLIP,
2023-11-07 07:00:00,TWO_PAIR_FLIP,
2023-11-07 08:00:00,TWO_PAIR_FLIP,
2023-11-07 09:00:00,TWO_PAIR_FLIP,
2023-11-07 10:00:00,TWO_PAIR_FLIP,
2023-11-07 11:00:00,TWO_PAIR_FLIP,
2023-11-07 12:00:00,TWO_PAIR_FLIP,
2023-11-07 13:00:00,TWO_PAIR_FLIP,
2023-11-07 14:00:00,TWO_PAIR_FLIP,
2023-11-07 15:00:00,TWO_PAIR_FLIP,
2023-11-07 16:00:00,TWO_PAIR_FLIP,
2023-11-07 17:00:00,TWO_PAIR_FLIP,
2023-11-07 18:00:00,TWO_PAIR_FLIP,
2023-11-09 16:00:00,TWO_PAIR_FLIP,1.0
2023-11-09 19:00:00,CHOCH,-1.0
2023-11-16 13:00:00,CHOCH,1.0
2023-11-30 08:00:00,CHOCH,-1.0
2023-12-06 05:00:00,CHOCH,1.0
2023-12-15 08:00:00,CHOCH,-1.0
2023-12-21 11:00:00,CHOCH,1.0
2023-12-25 00:00:00,CHOCH,-1.0
2024-01-04 09:00:00,CHOCH,1.0
2024-01-16 00:00:00,TWO_PAIR_FLIP,-1.0
2024-01-17 23:00:00,CHOCH,1.0
2024-01-22 23:00:00,CHOCH,-1.0
2024-01-30 12:00:00,CHOCH,1.0
2024-02-13 13:00:00,CHOCH,-1.0
2024-02-16 11:00:00,CHOCH,1.0
2024-02-27 14:00:00,CHOCH,-1.0
2024-03-20 18:00:00,CHOCH,1.0
2024-03-22 16:00:00,CHOCH,-1.0
2024-03-26 00:00:00,CHOCH,1.0
2024-04-05 12:00:00,CHOCH,-1.0
2024-04-17 17:00:00,CHOCH,1.0
2024-04-22 11:00:00,CHOCH,-1.0
2024-04-23 07:00:00,CHOCH,1.0
2024-04-26 11:00:00,CHOCH,-1.0
2024-05-02 18:00:00,CHOCH,1.0
2024-05-07 18:00:00,CHOCH,-1.0
2024-05-13 12:00:00,CHOCH,1.0
2024-05-17 08:00:00,CHOCH,-1.0
2024-05-27 09:00:00,CHOCH,1.0
2024-06-05 07:00:00,CHOCH,-1.0
2024-06-12 09:00:00,CHOCH,1.0
2024-06-20 08:00:00,CHOCH,-1.0
2024-06-24 09:00:00,CHOCH,1.0
2024-06-25 11:00:00,CHOCH,-1.0
2024-06-27 12:00:00,CHOCH,1.0
2024-07-02 07:00:00,CHOCH,-1.0
2024-07-11 08:00:00,CHOCH,1.0
2024-07-16 12:00:00,CHOCH,-1.0
2024-07-24 12:00:00,CHOCH,1.0
2024-07-29 07:00:00,CHOCH,-1.0
2024-08-02 09:00:00,CHOCH,1.0
2024-08-15 12:00:00,CHOCH,-1.0
2024-08-23 14:00:00,CHOCH,1.0
2024-09-09 06:00:00,CHOCH,-1.0
2024-09-12 13:00:00,CHOCH,1.0
2024-09-30 15:00:00,CHOCH,-1.0
2024-10-08 07:00:00,CHOCH,1.0
2024-10-13 23:00:00,CHOCH,-1.0
2024-10-24 16:00:00,CHOCH,1.0
2024-10-29 10:00:00,CHOCH,-1.0
2024-11-14 15:00:00,CHOCH,1.0
2024-11-20 15:00:00,CHOCH,-1.0
2024-11-25 13:00:00,CHOCH,1.0
2024-11-25 23:00:00,CHOCH,-1.0
2024-12-03 08:00:00,CHOCH,1.0
2024-12-04 03:00:00,CHOCH,-1.0
2024-12-05 13:00:00,CHOCH,1.0
2024-12-06 15:00:00,CHOCH,-1.0
2024-12-13 09:00:00,CHOCH,1.0
2024-12-18 15:00:00,CHOCH,-1.0
2024-12-20 16:00:00,CHOCH,1.0
2024-12-24 16:00:00,CHOCH,-1.0
2025-01-14 15:00:00,CHOCH,1.0
2025-01-23 08:00:00,CHOCH,-1.0
2025-01-24 02:00:00,CHOCH,1.0
2025-01-31 20:00:00,TWO_PAIR_FLIP,-1.0
2025-02-03 21:00:00,CHOCH,1.0
2025-02-18 01:00:00,CHOCH,-1.0
2025-02-20 10:00:00,CHOCH,1.0
2025-02-27 02:00:00,CHOCH,-1.0
2025-03-03 09:00:00,CHOCH,1.0
2025-03-10 07:00:00,CHOCH,-1.0
2025-03-14 10:00:00,CHOCH,1.0
2025-04-01 11:00:00,CHOCH,-1.0
2025-04-02 12:00:00,CHOCH,1.0
2025-04-04 07:00:00,CHOCH,-1.0
2025-04-07 05:00:00,CHOCH,1.0
2025-04-15 12:00:00,CHOCH,-1.0
2025-04-18 14:00:00,CHOCH,1.0
2025-04-22 12:00:00,CHOCH,-1.0
2025-05-09 05:00:00,CHOCH,1.0
2025-05-14 18:00:00,CHOCH,-1.0
2025-05-19 07:00:00,CHOCH,1.0
2025-05-22 08:00:00,CHOCH,-1.0
2025-05-25 23:00:00,CHOCH,1.0
2025-05-27 06:00:00,CHOCH,-1.0
2025-05-29 12:00:00,CHOCH,1.0
2025-06-13 00:00:00,CHOCH,-1.0
2025-06-24 16:00:00,CHOCH,1.0
2025-06-26 22:00:00,CHOCH,-1.0
2025-07-08 03:00:00,CHOCH,1.0
2025-07-24 06:00:00,CHOCH,-1.0
2025-07-30 00:00:00,CHOCH,1.0
2025-08-11 11:00:00,CHOCH,-1.0
2025-08-12 12:00:00,CHOCH,1.0
2025-08-14 06:00:00,CHOCH,-1.0
2025-08-22 14:00:00,CHOCH,1.0
2025-09-02 03:00:00,CHOCH,-1.0
2025-09-05 01:00:00,CHOCH,1.0
2025-09-11 05:00:00,CHOCH,-1.0
2025-09-22 17:00:00,CHOCH,1.0
2025-10-01 10:00:00,CHOCH,-1.0
2025-10-09 02:00:00,CHOCH,1.0
2025-10-17 20:00:00,CHOCH,-1.0
2025-10-24 12:00:00,CHOCH,1.0
2025-10-29 08:00:00,CHOCH,-1.0
2025-11-06 00:00:00,CHOCH,1.0
2025-11-12 09:00:00,CHOCH,-1.0
2025-11-24 05:00:00,CHOCH,1.0
2025-12-02 16:00:00,CHOCH,-1.0
2025-12-09 09:00:00,CHOCH,1.0
2025-12-17 03:00:00,CHOCH,-1.0
2025-12-22 12:00:00,CHOCH,1.0
2025-12-24 15:00:00,CHOCH,-1.0
2026-01-05 15:00:00,CHOCH,1.0
2026-01-13 15:00:00,CHOCH,-1.0
2026-01-16 11:00:00,CHOCH,1.0
2026-01-30 15:00:00,CHOCH,-1.0
2026-02-04 04:00:00,CHOCH,1.0
2026-02-05 02:00:00,CHOCH,-1.0
2026-02-20 15:00:00,CHOCH,1.0
2026-02-24 04:00:00,CHOCH,-1.0
2026-02-25 04:00:00,CHOCH,1.0
2026-03-02 06:00:00,CHOCH,-1.0
2026-03-09 20:00:00,CHOCH,1.0
2026-03-11 09:00:00,CHOCH,-1.0
2026-03-16 13:00:00,CHOCH,1.0
2026-03-18 20:00:00,CHOCH,-1.0
2026-03-23 14:00:00,CHOCH,1.0
2026-04-02 01:00:00,CHOCH,-1.0
2026-04-06 06:00:00,CHOCH,1.0
2026-04-10 06:00:00,CHOCH,-1.0
2026-04-15 15:00:00,CHOCH,1.0
2026-04-29 18:00:00,CHOCH,-1.0
2026-04-30 09:00:00,CHOCH,1.0
2026-05-07 19:00:00,CHOCH,-1.0
2026-05-18 21:00:00,CHOCH,1.0
2026-05-26 04:00:00,CHOCH,-1.0
2026-06-02 06:00:00,CHOCH,1.0
2026-06-10 22:00:00,CHOCH,-1.0
2026-06-11 18:00:00,CHOCH,1.0
2026-06-15 18:00:00,CHOCH,-1.0
2026-06-25 03:00:00,CHOCH,1.0
2026-07-01 12:00:00,CHOCH,-1.0
2026-07-09 06:00:00,CHOCH,1.0
2026-07-17 10:00:00,CHOCH,-1.0
2026-07-21 06:00:00,CHOCH,1.0
2026-07-28 09:00:00,CHOCH,-1.0
2026-07-29 18:00:00,CHOCH,1.0
2026-08-10 13:00:00,CHOCH,-1.0
